battery_voltage,battery_current,engine_temperature,motor_efficiency,tire_pressure,fuel_efficiency,speed,acceleration,driving_distance,ambient_temperature,humidity,road_condition,last_service_distance,service_frequency,repair_cost,downtime,fault_type,time_since_last_fault
12.623620356542087,11.479652509351688,83.08528418679529,93.45405988417797,35.71995878283593,13.936355202774422,77.79083448933864,0.11639836418666238,360.1339619736978,35.67890057013474,46.15485729266889,Hilly,14137.96259426629,5000,200,1,sensor_malfunction,3
14.352142919229749,23.966533158242534,82.3489399536,95.93362794382745,38.05432329299986,14.734356593750213,20.686363452619947,0.560317584693388,343.64150220656387,16.2680240909749,43.303846736198224,Smooth,7157.749964426894,15000,200,1,engine_overheating,4
13.695981825434215,35.553104255674285,115.31272902605184,85.00935797584998,37.60160929790159,18.545473932021803,104.68734760257779,2.4937374152698277,47.87709933167883,26.24551359180422,32.33077387520021,Smooth,5435.949217925944,5000,100,1,engine_overheating,10
13.29597545259111,30.62787102433464,82.47730999247531,92.49748199213998,31.538999046937736,13.40004386059892,73.57394868830897,2.3003050690150073,461.28620245290006,11.80241489862939,62.50866690710416,Bumpy,8054.105309715149,10000,200,2,battery_issue,1
11.96805592132731,33.22964017515074,83.59748630643155,91.43491966287498,31.492494697414738,18.69649684812171,18.86446602683451,1.0519280743714408,284.2361010784098,21.50172887712191,53.36369123560402,Hilly,11958.023148257802,10000,200,2,no_fault,11
11.967983561008609,28.057417834875107,107.96991312089818,96.65660753576542,32.681743677449134,10.881344309766915,115.48056689774482,1.1304318833226374,181.86276056784212,7.028796871055935,80.59906946268026,Hilly,14511.122009762665,5000,200,4,battery_issue,4
11.674250836504598,29.229679758124835,92.486992122527,98.12174120962521,33.610747263410374,17.767984372086307,62.20385560023848,1.6006633006607385,378.2692917476533,5.057950989272268,22.24767063374408,Hilly,5770.319999841139,15000,100,3,sensor_malfunction,4
14.098528437324806,34.72184780478618,108.83552784775907,80.24313542954773,34.08455581408482,18.475476330547366,8.7478142245986,0.0007230140554036479,128.68272920081702,18.911489308475684,65.07075492885885,Hilly,5284.838105492715,5000,200,1,engine_overheating,9
13.303345035229626,13.738380310071507,73.26830787821926,93.48039838117586,36.796972168333454,11.818176528373387,75.21994852980806,0.7237330081140836,346.7549185231602,14.90648370919902,73.40642149580927,Hilly,13841.472129857219,5000,100,1,battery_issue,8
13.624217733388136,22.129873727509917,94.37855968366921,81.03671598239458,30.566804321658353,14.303465323722005,30.38386884153723,0.6246954258246433,19.85560378612361,18.976818457499053,73.16405984318149,Hilly,12481.452691031413,10000,100,1,no_fault,2
